Device,A Port,IP,IP,Z Port,Device
ASR9k,Ten0/0/0/0,10.10.10.1/30,10.10.10.2/30,Ten0/8/1,4216-1
ASR9k,Ten0/0/0/1,10.10.10.17/30,10.10.10.18/30,Ten0/0/0,4206-Top
ASR9k,Ten0/0/0/2,10.10.10.13/30,10.10.10.14/30,Ten0/0/2,4206-Mid
ASR9k,Ten0/0/0/3,10.10.10.9/30,10.10.10.10/30,Ten0/0/1,4206-Bottom
4216-1,Ten0/8/2,20.20.20.1/30,20.20.20.2/30,Ten0/0/2,4206-Top
4206-Top,Ten0/0/1,20.20.20.9/30,20.20.20.10/30,Ten0/0/1,4206-Mid
4206-Mid,Ten0/0/0,20.20.20.13/30,20.20.20.14/30,Ten0/0/0,4206-Bottom
4206-Bottom,Ten0/0/2,20.20.20.17/30,20.20.20.18/30,Ten0/8/0,4216-1
